Column Date.,Column Description.,Column Type.,Column Money In (£).,Column Money Out (£).,Column Balance (£).
2024-09-26,MANCHESTER MARKET,DEP,2020.0,0.0,2020.0
2024-10-09,CIRCUIT UK - APP 2,DEB,0.0,9.2,2010.8
2024-10-09,OSEYO,DEB,0.0,1.98,2008.82
2024-10-09,SAINSBURYS S/MKTS,DEB,0.0,5.0,2003.82
2024-10-11,SAINSBURYS S/MKTS,DEB,0.0,0.92,2002.9
2024-10-17,Manchester Souveni,DEB,0.0,9.99,1992.91
2024-10-21,N VU       19OCT24,FPI,5.0,0.0,1997.91
2024-10-21,NYX*DransfieldNove,DEB,0.0,1.5,1996.41
2024-10-21,UNIVERSITY OF MCR,DEB,0.0,4.0,1992.41
2024-10-21,UNIVERSITY OF MCR,DEB,0.0,10.0,1982.41
2024-10-21,BLUE WHALE SUPERMA,DEB,0.0,9.95,1972.46
2024-10-21,ALDI 75 773,DEB,0.0,12.67,1959.79
2024-10-28,BABYLON,DEB,0.0,5.0,1954.79
2024-10-28,WH Smith Mancheste,DEB,0.0,29.99,1924.8
2024-10-29,ALDI 34 773,DEB,0.0,7.23,1917.57
2024-10-30,ALDI 34 773,DEB,0.0,2.58,1914.99
2024-10-31,ALDI 34 773,DEB,0.0,5.32,1909.67
2024-11-13,ALDI 75 773,DEB,0.0,5.68,1793.95
2024-11-13,T K MAXX,DEB,0.0,19.98,1773.97
2024-11-14,SAINSBURY'S SMKT,DEB,0.0,1.05,1772.92
2024-11-18,National Express L,DEB,0.0,7.6,1765.32
2024-11-18,MCDONALDS,DEB,0.0,5.0,1760.32
2024-11-18,AMAZON* T90WR4HJ4,DEB,0.0,6.99,1753.33
2024-11-19,FANPASS,DEB,0.0,65.72,1687.61
2024-11-19,ALDI 75 773,DEB,0.0,12.54,1675.07
2024-11-22,SAINSBURYS SMKT,DEB,0.0,2.25,1672.82
2024-11-25,Datacamp Inc,DEB,0.0,139.98,1532.84
2024-11-25,NON-GBP TRANS FEE,DEB,0.0,4.18,1528.66
2024-11-25,NON-GBP PURCH FEE,DEB,0.0,0.5,1528.16
2024-11-25,CIRCUIT UK - APP 2,DEB,0.0,5.6,1522.56
2024-12-02,WWWAMAZON* TD29C,DEB,0.0,7.49,1515.07
2024-12-03,SAINSBURYS S/MKTS,DEB,0.0,3.75,1511.32
2024-12-04,MCDONALDS,DEB,0.0,3.38,1507.94
2024-12-04,SAINSBURYS S/MKTS,DEB,0.0,4.09,1503.85
2024-12-05,SAINSBURYS S/MKTS,DEB,0.0,2.55,1501.3
2024-12-05,BLUE WHALE SUPERMA,DEB,0.0,4.38,1496.92
2024-12-06,MCDONALDS,DEB,0.0,1.99,1494.93
2024-12-09,TESCO STORES LTD 6,DEB,0.0,4.0,1490.93
2024-12-09,SAINSBURYS S/MKTS,DEB,0.0,14.6,1476.33
2024-12-09,National Express L,DEB,0.0,31.3,1445.03
2024-12-09,CIRCUIT UK - APP 2,DEB,0.0,5.6,1439.43
2024-12-13,AMAZON* 5V5UE75E5,DEB,0.0,11.19,1428.24
2024-12-13,UNIQLO Manchester,DEB,0.0,12.9,1415.34
2024-12-16,AMAZON* N05C92CM5,DEB,0.0,24.13,1391.21
2024-12-16,DOAN NGUYEN,FPO,0.0,10.0,1381.21
2024-12-23,BLUE WHALE SUPERMA,DEB,0.0,4.33,1376.88
2025-01-02,MCDONALDS,DEB,0.0,2.89,1322.03
2025-01-02,STARBUCKS,DEB,0.0,4.4,1317.63
2025-01-02,SAINSBURYS S/MKTS,DEB,0.0,5.4,1312.23
2025-01-02,T K MAXX,DEB,0.0,12.98,1299.25
2025-01-07,CIRCUIT UK - APP 2,DEB,0.0,6.1,1293.15
2025-01-08,CIRCUIT UK - APP 2,DEB,0.0,7.7,1285.45
2025-01-13,ALDI 75 773,DEB,0.0,0.3,1285.15
2025-01-13,TESCO STORES LTD 6,DEB,0.0,4.0,1281.15
2025-01-13,ALDI 75 773,DEB,0.0,6.53,1274.62
2025-01-13,TFGMCOM/CHARGES,DEB,0.0,8.1,1266.52
2025-01-13,GIO,DEB,0.0,23.8,1242.72
2025-01-13,MUFC TICKETING,DEB,0.0,26.0,1216.72
2025-01-16,THUC LU,FPO,0.0,5.0,1211.72
2025-01-20,MANCHESTER-UNIVERS,DEB,0.0,3.7,1208.02
2025-01-20,SAINSBURYS S/MKTS,DEB,0.0,8.19,1199.83
2025-01-20,CBA*Parallels,DEB,0.0,104.99,1094.84
